gen,evals,gen_feats,explored,survival SKSurv Cox model concordance index_min,survival SKSurv Cox model concordance index_avg,survival SKSurv Cox model concordance index_max,survival SKSurv Cox model concordance index_std,root leanness_min,root leanness_avg,root leanness_max,root leanness_std
128,500,485,2751,0.5,0.8877518167735319,0.9589782184728818,0.07225928134517072,0.1796053020267749,0.31829602192302503,1.0,0.13174859080287876
129,500,485,2751,0.5,0.8903002303197299,0.9589782184728818,0.07087500825990492,0.1796053020267749,0.3145228300561147,1.0,0.13028716938921767
130,500,516,2751,0.5,0.8886618891241769,0.9589782184728818,0.07205801990890583,0.1796053020267749,0.3177550813083075,1.0,0.13129566680423346
131,500,509,2751,0.5,0.8883711800835301,0.9589782184728818,0.07229634673550905,0.1796053020267749,0.31879333483921973,1.0,0.13145549914316176
132,500,450,2751,0.5,0.888320988648558,0.9589782184728818,0.07220311105840212,0.1796053020267749,0.31918451327540776,1.0,0.13137035900543098
133,500,514,2751,0.5,0.88856164826736,0.9589782184728818,0.07208879588870569,0.18257418583505536,0.31926285102913166,1.0,0.13098131542886135
134,500,520,2751,0.5,0.8888517254834305,0.9589782184728818,0.07227227677086143,0.18257418583505536,0.3189991424354477,1.0,0.13117956659431665
135,500,486,2751,0.5,0.8887513414842593,0.9589782184728818,0.07237806791095944,0.18257418583505536,0.3194316321544686,1.0,0.13118940559522604
136,500,500,2751,0.5,0.8889201707993709,0.9589782184728818,0.07250239525581531,0.18569533817705186,0.3192627805869597,1.0,0.1313333257666941
137,500,475,2751,0.5,0.8891684774005191,0.9589782184728818,0.07242097139907379,0.18569533817705186,0.3192015839891739,1.0,0.13104404905942357
138,500,523,2751,0.5,0.8897761015076011,0.9589782184728818,0.07244756243698061,0.18569533817705186,0.3183053298951821,1.0,0.13092369312723046
139,500,486,2751,0.5,0.8903886712843359,0.9589782184728818,0.07288782067295425,0.18569533817705186,0.31739457568628693,1.0,0.13159098972910174
140,500,510,2751,0.5,0.8920848740117893,0.9589782184728818,0.07180859653586642,0.18569533817705186,0.3147209739529985,1.0,0.13011379654143146
141,500,519,2751,0.5,0.8923410746247341,0.9589782184728818,0.07180579074971498,0.18569533817705186,0.31472103677897956,1.0,0.13011407273096462
142,500,536,2751,0.5,0.8924914429423659,0.9589782184728818,0.07189117606781244,0.18569533817705186,0.31463596552890694,1.0,0.13017513222863858
143,500,534,2751,0.5,0.8914771116213964,0.9589782184728818,0.07289088111131989,0.18569533817705186,0.31663167784450647,1.0,0.13139917465657977
144,500,493,2751,0.5,0.8920957498560812,0.9589782184728818,0.0728012700481772,0.18257418583505536,0.315809574514455,1.0,0.13143030409842946
145,500,503,2751,0.5,0.8906572770763512,0.9589782184728818,0.07334625798317396,0.18257418583505536,0.31860295794479204,1.0,0.13169091135397493
146,500,500,2751,0.5,0.8913794933753029,0.9589782184728818,0.07347110717937992,0.18257418583505536,0.3177199727450222,1.0,0.1319412786883134
147,500,442,2751,0.5,0.8910527753506197,0.9589782184728818,0.0734904767345184,0.18257418583505536,0.3187835601119293,1.0,0.13155769276454257
148,500,462,2751,0.5,0.8914293200469603,0.9589782184728818,0.0735989249215738,0.18257418583505536,0.31828540617743306,1.0,0.13175696555683603
149,500,482,2751,0.5,0.8914881133789129,0.9589782184728818,0.07372541615842539,0.18257418583505536,0.3183938487379986,1.0,0.13181285879051372
150,500,486,2751,0.5,0.8928403137988434,0.9589782184728818,0.07353242398608906,0.18257418583505536,0.3163599104547313,1.0,0.1316491293785042
151,500,469,2751,0.5,0.8941443445926646,0.9606856945466569,0.07275069634798448,0.18257418583505536,0.31430251999535846,1.0,0.13048246975487657
152,500,506,2751,0.5,0.8943746068721732,0.9606856945466569,0.07288869316174938,0.18257418583505536,0.3142003900131313,1.0,0.1305451074400046
153,500,470,2751,0.5,0.8941271908321388,0.9606856945466569,0.07328420651388544,0.18257418583505536,0.31484249724805213,1.0,0.1310540137800241
154,500,503,2751,0.5,0.8947379418055695,0.9606856945466569,0.07309828474992894,0.18257418583505536,0.3140647022868023,1.0,0.13063139340372373
155,500,474,2751,0.5,0.89486795950199,0.9606856945466569,0.07317786560671727,0.18257418583505536,0.31395255100800873,1.0,0.1307303128824746
156,500,485,2751,0.5,0.8951389287285555,0.9606856945466569,0.07331977914314819,0.18257418583505536,0.31377824285525396,1.0,0.13084002906794331
157,500,466,2751,0.5,0.8952680325028711,0.9608611749794957,0.07335304493361117,0.18257418583505536,0.3138198579555213,1.0,0.13080025857541908
158,500,479,2751,0.5,0.8953217049453293,0.9608611749794957,0.07337717274840107,0.18257418583505536,0.3140431746453778,1.0,0.13062717450529263
159,500,470,2751,0.5,0.8954216286507222,0.9608611749794957,0.07343179376007401,0.18257418583505536,0.31419121351342916,1.0,0.13054588991040378
160,500,474,2751,0.5,0.8955691112743674,0.9608611749794957,0.07351537320401895,0.18257418583505536,0.31423433350410496,1.0,0.1305143400259732
161,500,486,2751,0.5,0.8953704260135006,0.9608611749794957,0.07375515191138732,0.18569533817705186,0.31505094703319103,1.0,0.13051697175068022
162,500,491,2751,0.5,0.8956403211308407,0.9608611749794957,0.073623232058597,0.18569533817705186,0.31485348690239956,1.0,0.13025720118279008
163,500,495,2751,0.5,0.8949015255163253,0.9608611749794957,0.07474864085312725,0.18569533817705186,0.3162728653764208,1.0,0.1313302677895301
164,500,477,2751,0.5,0.8939101468601166,0.9608611749794957,0.07509042076737502,0.18569533817705186,0.31817189460468553,1.0,0.1316325308920983
165,500,443,2751,0.5,0.8934319485537724,0.9608611749794957,0.07479009599750219,0.18569533817705186,0.31950729705039693,1.0,0.13124294723403584
166,500,470,2751,0.5,0.8938441087668457,0.9608611749794957,0.0749487842467699,0.18569533817705186,0.31896621816777426,1.0,0.13150994767844928
167,500,490,2751,0.5,0.8950864517030035,0.9608611749794957,0.07517904032004631,0.18569533817705186,0.3171169603706727,1.0,0.13196661507985744
168,500,469,2751,0.5,0.895257005870455,0.9608611749794957,0.07496493063038921,0.18569533817705186,0.31705169403197286,1.0,0.13145059153349964
169,500,514,2751,0.5,0.8955572244015532,0.9608611749794957,0.07514531221389675,0.18569533817705186,0.317027088803451,1.0,0.131409645320345
170,500,492,2751,0.5,0.8963427308867365,0.9608611749794957,0.07457665535724464,0.18569533817705186,0.315991210170321,1.0,0.13055549714209252
171,500,472,2751,0.5,0.897259257211957,0.9608611749794957,0.07426534813668541,0.18569533817705186,0.3146434265803241,1.0,0.13022923678526402
172,500,488,2751,0.5,0.8973756029601556,0.9620561061585265,0.07434500953981994,0.18569533817705186,0.31465370082712957,1.0,0.13022122400870711
173,500,492,2751,0.5,0.8957708779027821,0.9620561061585265,0.07582690240699375,0.18569533817705186,0.31750291983578977,1.0,0.1319016970416633
174,500,492,2751,0.5,0.8964335659717899,0.9620561061585265,0.07544642739932113,0.18569533817705186,0.31670485070888027,1.0,0.13124607870531743
175,500,501,2751,0.5,0.8969004398631043,0.9620561061585265,0.07503060248185653,0.18569533817705186,0.3162777985415584,1.0,0.1305387499327365
176,500,496,2751,0.5,0.8965072555004958,0.9624487296446226,0.07601425680858132,0.18569533817705186,0.3171530985619477,1.0,0.1318256716298473
177,500,472,2751,0.5,0.8976271394514311,0.9631598589179085,0.07493321416554267,0.18569533817705186,0.3154055740161924,1.0,0.13030295891906132
178,500,533,2751,0.5,0.8965529326588321,0.9631598589179085,0.0756791639489078,0.18569533817705186,0.3174314607497218,1.0,0.1308255668507364
179,500,495,2751,0.5,0.8965772018035436,0.9631598589179085,0.07582595946461838,0.1889822365046136,0.3178871303631884,1.0,0.1308831104507191
180,500,508,2751,0.5,0.8962642724717648,0.9631598589179085,0.07618391950222367,0.1889822365046136,0.3187516407814267,1.0,0.13133654054147212
181,500,477,2751,0.5,0.8978005137503489,0.9658580427488763,0.07527167246015995,0.1889822365046136,0.31652865469987773,1.0,0.1302345502763033
182,500,492,2751,0.5,0.8986611143416099,0.9658580427488763,0.074947472223054,0.1889822365046136,0.31541313847285335,1.0,0.1298010616013066
183,500,484,2751,0.5,0.8989488246911317,0.9658580427488763,0.07500359766931865,0.1889822365046136,0.3150809932767461,1.0,0.12985185437117786
184,500,505,2751,0.5,0.8985763941847618,0.9658580427488763,0.07521871073519144,0.1889822365046136,0.31595173975608926,1.0,0.1299444910101984
185,500,503,2751,0.5,0.8974757062179342,0.9658580427488763,0.07625640094459803,0.1889822365046136,0.3178807203247996,1.0,0.13124300867624417
186,500,480,2751,0.5,0.8990704305516806,0.9658580427488763,0.07514337145240901,0.1889822365046136,0.3154858951864569,1.0,0.12977976966334634
