
OPTIMIZING FINAL MODEL ON WHOLE DATASET

COMPUTING LOCAL ACTIVE FEATURES
Computing active features for target column 0_PanKidney
Features before filter: 20227
Features after any na, zero variance, and anova filters: 18853
Features active in view: 18853

CREATING INNER FOLDS

RUNNING GENETIC ALGORITHM
Generations completed = 360
Generations completed = 651
Generations completed = 957
   	     	         	        	         PanKidney naive Bayes balanced accuracy         	                     leanness                    
   	     	         	        	---------------------------------------------------------	-------------------------------------------------
gen	evals	gen_feats	explored	min     	avg     	max     	std         	min      	avg      	max	std      
114	369  	820      	17807   	0.25    	0.943753	0.959029	0.0541861   	0.0136986	0.0418323	1  	0.0807098
115	382  	828      	17823   	0.25    	0.941603	0.959029	0.0568539   	0.0136986	0.0456157	1  	0.0829009
116	377  	833      	17841   	0.25    	0.941748	0.959029	0.0564148   	0.0136986	0.0460171	1  	0.0828362
117	374  	862      	17869   	0.25    	0.940485	0.959029	0.0642986   	0.0136986	0.0468384	1  	0.0853135
118	379  	840      	17889   	0.25    	0.94407 	0.959029	0.0542672   	0.0136986	0.0415293	1  	0.0808118
119	371  	789      	17919   	0.25    	0.944125	0.959029	0.0542745   	0.0136986	0.0414229	1  	0.0808112
120	366  	792      	17941   	0.25    	0.944227	0.959029	0.054298    	0.0136986	0.0411797	1  	0.0808465
121	359  	818      	17962   	0.25    	0.944294	0.959029	0.0543082   	0.0136986	0.0412243	1  	0.0808345
122	371  	822      	17974   	0.25    	0.947044	0.959029	0.0499158   	0.0138889	0.0359409	1  	0.0754663
123	340  	795      	17995   	0.25    	0.947151	0.959029	0.0496608   	0.0138889	0.0360042	1  	0.0754629
124	369  	814      	18023   	0.25    	0.947139	0.959029	0.0496623   	0.0138889	0.0360645	1  	0.0754709
125	343  	761      	18035   	0.25    	0.942926	0.959029	0.0612073   	0.0136986	0.0422087	1  	0.0830335
126	357  	794      	18055   	0.25    	0.944775	0.959029	0.0553452   	0.0136986	0.0406333	1  	0.0806777
127	346  	830      	18076   	0.25    	0.944857	0.960592	0.0552904   	0.0136986	0.0409041	1  	0.0806715
128	364  	840      	18095   	0.25    	0.942981	0.960592	0.0574011   	0.0136986	0.0441789	1  	0.0829315
129	365  	832      	18115   	0.25    	0.942677	0.960592	0.0573628   	0.0136986	0.0453144	1  	0.0829133
130	358  	784      	18136   	0.25    	0.944738	0.960592	0.0552816   	0.0136986	0.041939 	1  	0.0806966
131	363  	770      	18153   	0.25    	0.944751	0.960592	0.055257    	0.0133333	0.0422367	1  	0.0806318
132	368  	785      	18172   	0.25    	0.944738	0.960592	0.0550621   	0.0133333	0.0426626	1  	0.080573 
133	389  	863      	18189   	0.25    	0.944942	0.960592	0.0548911   	0.0133333	0.0424675	1  	0.0805977
134	352  	767      	18199   	0.25    	0.944936	0.960592	0.0548932   	0.0133333	0.0429043	1  	0.0805327
135	358  	798      	18217   	0.25    	0.944904	0.960592	0.0548872   	0.0133333	0.0432342	1  	0.0804821
136	369  	837      	18232   	0.25    	0.944939	0.960592	0.0548929   	0.0131579	0.0432288	1  	0.0804669
137	370  	810      	18246   	0.25    	0.944983	0.960592	0.0546593   	0.0133333	0.0433077	1  	0.0804921
138	374  	817      	18254   	0.25    	0.947767	0.960592	0.0497856   	0.0135135	0.0380638	1  	0.0753838
139	370  	801      	18264   	0.25    	0.947812	0.960592	0.0497905   	0.0136986	0.0378667	1  	0.0753801
140	353  	811      	18284   	0.25    	0.947861	0.960592	0.0497827   	0.0136986	0.0375646	1  	0.0754347
141	377  	827      	18295   	0.25    	0.947876	0.960592	0.0497895   	0.0136986	0.0375732	1  	0.0754387
142	370  	816      	18314   	0.25    	0.947957	0.960592	0.0498075   	0.0136986	0.0376326	1  	0.075442 
143	348  	763      	18327   	0.25    	0.948016	0.960592	0.0498195   	0.0136986	0.0377451	1  	0.0754285
144	374  	834      	18341   	0.25    	0.946524	0.960592	0.0512739   	0.0136986	0.0409068	1  	0.0774654
145	374  	836      	18352   	0.25    	0.947261	0.960592	0.0511096   	0.0136986	0.0391415	1  	0.0771277
146	359  	774      	18359   	0.25    	0.942934	0.960592	0.0611904   	0.0136986	0.0455904	1  	0.0826656
147	367  	816      	18368   	0.25    	0.941978	0.960592	0.0677244   	0.0135135	0.0467854	1  	0.0848285
148	370  	811      	18379   	0.25    	0.945227	0.960592	0.0556904   	0.0136986	0.0431861	1  	0.0805243
149	351  	791      	18387   	0.25    	0.945302	0.960592	0.055658    	0.0136986	0.0430906	1  	0.0804995
150	361  	805      	18401   	0.25    	0.941581	0.960592	0.0674369   	0.0135135	0.0477604	1  	0.0849878
151	370  	789      	18408   	0.25    	0.945098	0.960592	0.055595    	0.0136986	0.0440244	1  	0.0804269
152	356  	820      	18420   	0.25    	0.945117	0.960592	0.0556034   	0.0136986	0.044181 	1  	0.08042  
153	358  	808      	18428   	0.25    	0.945963	0.960592	0.0555473   	0.0136986	0.0416918	1  	0.0802049
154	372  	785      	18435   	0.25    	0.94794 	0.960592	0.0498074   	0.0138889	0.0389655	1  	0.0753184
155	381  	818      	18443   	0.25    	0.948009	0.960592	0.0498204   	0.0138889	0.0383197	1  	0.0754177
156	364  	820      	18458   	0.25    	0.948034	0.960592	0.0498277   	0.0138889	0.038514 	1  	0.0754049
157	371  	802      	18469   	0.25    	0.948054	0.960592	0.0498342   	0.0138889	0.038759 	1  	0.0753832
158	366  	783      	18478   	0.25    	0.948142	0.960592	0.0498579   	0.0138889	0.0382228	1  	0.0754968
159	371  	822      	18489   	0.25    	0.948395	0.960592	0.0498993   	0.0138889	0.0370741	1  	0.0755497
160	362  	805      	18496   	0.25    	0.948485	0.960592	0.0499189   	0.0138889	0.037107 	1  	0.0755497
161	340  	799      	18508   	0.25    	0.948548	0.960592	0.0499309   	0.0138889	0.0372263	1  	0.0755388
162	357  	787      	18513   	0.25    	0.948601	0.960592	0.0499423   	0.0138889	0.0372608	1  	0.0755351
163	362  	801      	18518   	0.25    	0.948618	0.960592	0.049941    	0.0138889	0.0371631	1  	0.0755297
164	374  	816      	18528   	0.25    	0.948608	0.960592	0.0499295   	0.0138889	0.0371431	1  	0.0755038
165	385  	829      	18535   	0.25    	0.947163	0.960592	0.0516012   	0.0138889	0.0394788	1  	0.0776689
166	375  	835      	18544   	0.25    	0.948499	0.961107	0.0499069   	0.0138889	0.0375192	1  	0.0754522
167	364  	796      	18548   	0.25    	0.948448	0.961107	0.0498963   	0.0138889	0.0377015	1  	0.0754289
168	341  	749      	18557   	0.25    	0.948451	0.962154	0.0498974   	0.0136986	0.0377104	1  	0.0754277
169	377  	798      	18566   	0.25    	0.948344	0.962154	0.0498723   	0.0136986	0.0379341	1  	0.0754004
