
OPTIMIZING ON FOLD NUMBER 0
Number of workers = 8

COMPUTING LOCAL ACTIVE FEATURES
Existing features: 5937
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome type
Features selected for this outcome: 5893
Features active in total: 5893
Computing feature importance
Running optimizer

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA KIDNEY_IHC_DET
Assigning strata for outcome named type of type categorical
Counts:
ChRCC: 54
PRCC T1: 107
PRCC T2: 46
ccRCC: 323
normal: 86

RUNNING GENETIC ALGORITHM
Generations completed = 30
Generations completed = 65
Generations completed = 100
Generations completed = 133
Generations completed = 167
Generations completed = 200
Generations completed = 233
Generations completed = 267
Generations completed = 301
Generations completed = 334
Generations completed = 369
Generations completed = 404
Generations completed = 438
Generations completed = 470
   	     	         	        	                 root separation                 	                 root leanness                  
   	     	         	        	-------------------------------------------------	------------------------------------------------
gen	evals	gen_feats	explored	min	avg     	max     	std      	min     	avg     	max	std     
157	652  	804      	5887    	0  	0.627801	0.646207	0.0416709	0.2     	0.419374	1  	0.126534
158	641  	849      	5887    	0  	0.628514	0.646207	0.0409705	0.2     	0.416289	1  	0.126101
159	647  	858      	5887    	0  	0.628586	0.646207	0.0409934	0.2     	0.414233	1  	0.127046
160	654  	862      	5887    	0  	0.628193	0.646207	0.0412914	0.2     	0.418259	1  	0.126838
161	644  	821      	5887    	0  	0.628277	0.646207	0.0412771	0.2     	0.416868	1  	0.127484
162	649  	808      	5887    	0  	0.628482	0.646207	0.0409576	0.2     	0.421256	1  	0.12255 
163	649  	794      	5888    	0  	0.628008	0.646207	0.0412333	0.2     	0.428902	1  	0.118282
164	640  	761      	5888    	0  	0.6268  	0.646207	0.042824 	0.204124	0.429093	1  	0.12395 
165	640  	818      	5888    	0  	0.62748 	0.646207	0.0418623	0.2     	0.421702	1  	0.128703
166	629  	820      	5889    	0  	0.629294	0.646207	0.0407777	0.196116	0.403852	1  	0.135049
167	663  	812      	5891    	0  	0.629861	0.646207	0.0401088	0.185695	0.409047	1  	0.125088
168	672  	801      	5892    	0  	0.62829 	0.646207	0.0416975	0.185695	0.418197	1  	0.124254
169	645  	797      	5892    	0  	0.629382	0.646207	0.0403649	0.185695	0.417404	1  	0.120799
170	658  	837      	5892    	0  	0.628592	0.646207	0.0409585	0.179605	0.420397	1  	0.122416
171	641  	854      	5892    	0  	0.628943	0.646207	0.0406641	0.179605	0.413374	1  	0.127322
