
OPTIMIZING ON FOLD NUMBER 4
Number of workers = 8

COMPUTING LOCAL ACTIVE FEATURES
Existing features: 5937
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome type
Features selected for this outcome: 5882
Features active in total: 5882
Computing feature importance
Running optimizer

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA KIDNEY_IHC_DET
Assigning strata for outcome named type of type categorical
Counts:
ChRCC: 54
PRCC T1: 107
PRCC T2: 46
ccRCC: 323
normal: 86

RUNNING GENETIC ALGORITHM
Generations completed = 61
Generations completed = 122
Generations completed = 184
Generations completed = 246
Generations completed = 307
Generations completed = 370
Generations completed = 432
Generations completed = 493
   	     	         	        	            type naive Bayes balanced accuracy           	                 root leanness                  
   	     	         	        	---------------------------------------------------------	------------------------------------------------
gen	evals	gen_feats	explored	min     	avg     	max     	std      	min     	avg     	max	std     
103	547  	820      	5815    	0.2     	0.896215	0.963503	0.0969455	0.147442	0.30159 	1  	0.135818
104	548  	834      	5818    	0.2     	0.893901	0.963503	0.0986052	0.147442	0.306662	1  	0.136087
105	549  	857      	5824    	0.2     	0.894157	0.963503	0.0987173	0.147442	0.306528	1  	0.136337
106	547  	833      	5824    	0.2     	0.896179	0.963503	0.0963271	0.147442	0.303519	1  	0.134706
107	555  	842      	5826    	0.2     	0.896828	0.963503	0.0966321	0.147442	0.301137	1  	0.13644 
108	542  	834      	5828    	0.2     	0.899158	0.963503	0.0945749	0.145865	0.29701 	1  	0.135238
109	543  	853      	5830    	0.2     	0.899674	0.963503	0.0946084	0.149071	0.296073	1  	0.134948
110	555  	816      	5832    	0.2     	0.896872	0.963503	0.0973742	0.149071	0.301633	1  	0.135887
111	557  	833      	5833    	0.2     	0.896861	0.963503	0.0971891	0.154303	0.303279	1  	0.134607
112	558  	825      	5834    	0.2     	0.895796	0.963503	0.0968815	0.154303	0.307858	1  	0.132033
113	567  	829      	5835    	0.2     	0.892981	0.963503	0.100069 	0.154303	0.312375	1  	0.133334
114	562  	802      	5835    	0.2     	0.888035	0.963503	0.103768 	0.152499	0.321651	1  	0.134604
115	554  	815      	5839    	0.2     	0.890571	0.963503	0.101504 	0.150756	0.317664	1  	0.134343
116	536  	829      	5843    	0.2     	0.88891 	0.963503	0.103229 	0.150756	0.322077	1  	0.13378 
117	553  	827      	5844    	0.2     	0.885733	0.963503	0.104932 	0.150756	0.328554	1  	0.133964
118	542  	799      	5845    	0.2     	0.886413	0.963503	0.104955 	0.149071	0.326423	1  	0.135677
119	532  	852      	5847    	0.2     	0.887394	0.963503	0.10489  	0.149071	0.324589	1  	0.135884
120	535  	808      	5849    	0.2     	0.889802	0.963503	0.102283 	0.149071	0.321247	1  	0.135248
121	536  	811      	5850    	0.2     	0.890236	0.963503	0.102409 	0.149071	0.320488	1  	0.135634
122	537  	802      	5851    	0.2     	0.890223	0.963503	0.102448 	0.145865	0.321504	1  	0.135414
123	538  	822      	5852    	0.2     	0.89062 	0.963503	0.101739 	0.149071	0.321531	1  	0.134966
124	545  	822      	5854    	0.2     	0.890931	0.963503	0.10187  	0.149071	0.322136	1  	0.134667
125	538  	812      	5855    	0.2     	0.888832	0.963503	0.104108 	0.149071	0.326468	1  	0.134738
126	541  	804      	5857    	0.2     	0.891503	0.964753	0.10137  	0.149071	0.322135	1  	0.134457
