
OPTIMIZING ON FOLD NUMBER 0
Number of workers = 8

COMPUTING LOCAL ACTIVE FEATURES
Existing features: 5937
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome type
Features selected for this outcome: 5896
Features active in total: 5896
Computing feature importance
Running optimizer

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA KIDNEY_IHC_DET
Assigning strata for outcome named type of type categorical
Counts:
ChRCC: 54
PRCC T1: 107
PRCC T2: 46
ccRCC: 323
normal: 86

RUNNING GENETIC ALGORITHM
Generations completed = 16
Generations completed = 34
Generations completed = 52
Generations completed = 70
Generations completed = 89
Generations completed = 107
Generations completed = 126
Generations completed = 144
Generations completed = 162
Generations completed = 181
Generations completed = 200
Generations completed = 219
Generations completed = 238
Generations completed = 257
Generations completed = 276
Generations completed = 295
Generations completed = 314
Generations completed = 333
Generations completed = 351
Generations completed = 370
Generations completed = 389
Generations completed = 408
Generations completed = 427
Generations completed = 447
Generations completed = 467
Generations completed = 487
   	     	         	        	            type svm balanced accuracy           	                 root separation                 	                 root leanness                  
   	     	         	        	-------------------------------------------------	-------------------------------------------------	------------------------------------------------
gen	evals	gen_feats	explored	min	avg     	max     	std      	min	avg     	max     	std      	min     	avg     	max	std     
68 	693  	806      	5573    	0.2	0.832025	0.964734	0.106839 	0  	0.6032  	0.651877	0.0412067	0.138675	0.412804	1  	0.155207
69 	695  	797      	5579    	0.2	0.828066	0.964734	0.105825 	0  	0.602378	0.651877	0.0409702	0.141421	0.423104	1  	0.146186
70 	712  	814      	5589    	0.2	0.823765	0.964734	0.104736 	0  	0.603452	0.650571	0.0417466	0.140028	0.4245  	1  	0.146066
71 	697  	801      	5606    	0.2	0.828593	0.965984	0.106651 	0  	0.601806	0.650571	0.0421605	0.141421	0.420123	1  	0.147233
72 	687  	795      	5616    	0.2	0.827805	0.965984	0.108    	0  	0.602629	0.650571	0.0417856	0.141421	0.417835	1  	0.150689
73 	700  	807      	5628    	0.2	0.827761	0.965984	0.104292 	0  	0.602905	0.650571	0.0409689	0.141421	0.421092	1  	0.150556
74 	691  	812      	5639    	0.2	0.824305	0.965984	0.101114 	0  	0.603609	0.650571	0.0405615	0.142857	0.429251	1  	0.14636 
75 	694  	780      	5648    	0.2	0.819702	0.965984	0.11099  	0  	0.602606	0.650571	0.0421056	0.141421	0.430783	1  	0.152336
76 	686  	815      	5657    	0.2	0.830042	0.965984	0.111918 	0  	0.602899	0.650571	0.0421748	0.141421	0.409864	1  	0.158969
77 	670  	807      	5665    	0.2	0.835442	0.965984	0.0951279	0  	0.604658	0.650571	0.0399556	0.142857	0.412345	1  	0.147015
78 	682  	807      	5673    	0.2	0.834084	0.965984	0.104408 	0  	0.60395 	0.650571	0.0404523	0.142857	0.408846	1  	0.154017
79 	703  	785      	5683    	0.2	0.833629	0.966603	0.110716 	0  	0.602834	0.650571	0.0427003	0.138675	0.408687	1  	0.161557
80 	695  	806      	5693    	0.2	0.838501	0.965984	0.109192 	0  	0.602228	0.650571	0.0424335	0.138675	0.400231	1  	0.162572
81 	687  	793      	5705    	0.2	0.839379	0.965984	0.107947 	0  	0.602603	0.650571	0.0422116	0.138675	0.398608	1  	0.159336
82 	694  	795      	5712    	0.2	0.83463 	0.965984	0.106268 	0  	0.60438 	0.650571	0.0415376	0.141421	0.410702	1  	0.152961
83 	695  	792      	5718    	0.2	0.836335	0.965984	0.100598 	0  	0.605062	0.650571	0.0408054	0.142857	0.413685	1  	0.146694
84 	686  	804      	5726    	0.2	0.833945	0.966603	0.107239 	0  	0.603019	0.650571	0.0421892	0.138675	0.415934	1  	0.153758
85 	685  	836      	5729    	0.2	0.827684	0.965984	0.109322 	0  	0.603449	0.650571	0.0410458	0.136083	0.421763	1  	0.154431
86 	679  	796      	5733    	0.2	0.829244	0.965984	0.109018 	0  	0.602408	0.650571	0.0420162	0.136083	0.422657	1  	0.152969
87 	698  	825      	5736    	0.2	0.833793	0.965984	0.104402 	0  	0.603816	0.650571	0.0414871	0.136083	0.409188	1  	0.155615
88 	699  	812      	5746    	0.2	0.830119	0.965984	0.107089 	0  	0.602351	0.650571	0.0427472	0.136083	0.419229	1  	0.152147
89 	696  	837      	5752    	0.2	0.839655	0.965984	0.0988978	0  	0.60393 	0.650571	0.0405861	0.13484 	0.404161	1  	0.152191
90 	689  	787      	5757    	0.2	0.837703	0.965984	0.10171  	0  	0.602648	0.650571	0.0411374	0.13484 	0.409325	1  	0.150558
91 	688  	818      	5767    	0.2	0.837225	0.968016	0.102987 	0  	0.602925	0.650571	0.0407202	0.13484 	0.408777	1  	0.149021
92 	688  	780      	5770    	0.2	0.844285	0.968016	0.0949667	0  	0.605637	0.650571	0.0408663	0.13484 	0.40097 	1  	0.146167
93 	691  	832      	5775    	0.2	0.830075	0.968016	0.110091 	0  	0.602741	0.650571	0.0423567	0.121268	0.417971	1  	0.154904
94 	702  	845      	5785    	0.2	0.8397  	0.968016	0.100323 	0  	0.605702	0.650571	0.041514 	0.13484 	0.401474	1  	0.151994
95 	694  	840      	5790    	0.2	0.840178	0.968016	0.102334 	0  	0.606242	0.650571	0.0409846	0.13484 	0.402156	1  	0.151676
96 	700  	817      	5796    	0.2	0.84349 	0.968016	0.105643 	0  	0.604726	0.650571	0.0410399	0.133631	0.396002	1  	0.156592
97 	698  	826      	5798    	0.2	0.839063	0.968016	0.10315  	0  	0.606847	0.650571	0.0409895	0.132453	0.402554	1  	0.154529
98 	700  	831      	5800    	0.2	0.850349	0.968016	0.097425 	0  	0.60602 	0.650571	0.040749 	0.132453	0.387821	1  	0.152589
99 	687  	837      	5801    	0.2	0.837202	0.968016	0.108896 	0  	0.604873	0.650571	0.0420964	0.133631	0.40275 	1  	0.153382
100	691  	832      	5804    	0.2	0.835789	0.968016	0.111435 	0  	0.602383	0.650571	0.0427872	0.133631	0.408364	1  	0.155774
101	690  	831      	5809    	0.2	0.84815 	0.968016	0.0986706	0  	0.60383 	0.650571	0.0403721	0.133631	0.390947	1  	0.150888
102	684  	798      	5813    	0.2	0.829144	0.968016	0.112433 	0  	0.603029	0.650571	0.0421647	0.133631	0.414948	1  	0.160983
103	688  	786      	5817    	0.2	0.834418	0.968016	0.105696 	0  	0.602991	0.650571	0.0416815	0.133631	0.412436	1  	0.15727 
104	705  	834      	5819    	0.2	0.836277	0.968016	0.105665 	0  	0.602134	0.650571	0.041607 	0.131306	0.406843	1  	0.156898
105	685  	854      	5821    	0.2	0.840974	0.968016	0.0976367	0  	0.604723	0.650571	0.0412179	0.133631	0.401626	1  	0.150514
106	691  	863      	5823    	0.2	0.837737	0.968016	0.107987 	0  	0.60364 	0.650571	0.0427512	0.13484 	0.400668	1  	0.15658 
107	679  	824      	5827    	0.2	0.835171	0.968016	0.106768 	0  	0.603042	0.650571	0.0417769	0.13484 	0.414918	1  	0.150277
108	692  	824      	5830    	0.2	0.839254	0.968016	0.0997213	0  	0.604131	0.650571	0.0414305	0.136083	0.407893	1  	0.147136
