gen,evals,gen_feats,explored,Pam50 naive Bayes adjusted balanced accuracy_min,Pam50 naive Bayes adjusted balanced accuracy_avg,Pam50 naive Bayes adjusted balanced accuracy_max,Pam50 naive Bayes adjusted balanced accuracy_std,adjusted root leanness_min,adjusted root leanness_avg,adjusted root leanness_max,adjusted root leanness_std
340,500,1370,17653,0.2,0.8308429758050543,0.8808973432151419,0.0972698793923668,0.13018891098082386,0.23085263984438117,1.0,0.11975643075652363
341,500,1412,17655,0.2,0.8309674870781334,0.8808973432151419,0.09729661445869808,0.13018891098082386,0.2306139411026996,1.0,0.11988311961323163
342,500,1369,17658,0.2,0.8309682600451864,0.8808973432151419,0.09728967755134024,0.13018891098082386,0.23068362462770886,1.0,0.11985162157828515
343,500,1337,17658,0.2,0.8310325913791009,0.8808973432151419,0.0973149933500402,0.13018891098082386,0.2305579993515482,1.0,0.11990729497463277
344,500,1406,17659,0.2,0.8310157225023637,0.8808973432151419,0.09729544906282714,0.13018891098082386,0.23081077996388255,1.0,0.11974941636854006
345,500,1407,17659,0.2,0.831036497382883,0.8808973432151419,0.0972947989984627,0.13018891098082386,0.23086971003341145,1.0,0.11972309153722822
346,500,1406,17661,0.2,0.8310153563771296,0.8808973432151419,0.09728762521820064,0.13018891098082386,0.23099031551471932,1.0,0.11967860575205454
347,500,1381,17663,0.2,0.8310359074997645,0.8808973432151419,0.09728659984603262,0.13018891098082386,0.23096721936333892,1.0,0.11972770858005326
348,500,1346,17664,0.2,0.8309710095444791,0.8808973432151419,0.09725791785340557,0.13018891098082386,0.23130827371290508,1.0,0.11951667356715504
349,500,1379,17665,0.2,0.8309266542871196,0.8808973432151419,0.09723940255014936,0.13018891098082386,0.2316033537482839,1.0,0.11935894107947385
350,500,1368,17668,0.2,0.8309453572264222,0.8808973432151419,0.09719469608126313,0.13018891098082386,0.23164566044953802,1.0,0.11933618229626416
351,500,1352,17672,0.2,0.8309111137431222,0.8808973432151419,0.09718371753585382,0.13018891098082386,0.2318119259601039,1.0,0.11926790015593541
352,500,1332,17673,0.2,0.8309747458347146,0.8808973432151419,0.09720899749916703,0.13018891098082386,0.23166819565161376,1.0,0.11933971802873072
353,500,1404,17674,0.2,0.8298880769049733,0.8812732915917992,0.09768552969583891,0.13018891098082386,0.23332489776168147,1.0,0.11999330267242168
354,500,1362,17676,0.2,0.828413400019851,0.8812732915917992,0.10218664002551713,0.13018891098082386,0.23436881201389628,1.0,0.12232931852402146
355,500,1365,17679,0.2,0.8290799743557998,0.8816485194341324,0.10083749262575538,0.13018891098082386,0.23389769826348808,1.0,0.12146097430391797
356,500,1405,17680,0.2,0.829434751165816,0.8816485194341324,0.09917610674213058,0.13018891098082386,0.23369839786726596,1.0,0.12082743921886832
357,500,1390,17681,0.2,0.8310656179182987,0.8816485194341324,0.09723965805819952,0.13018891098082386,0.23174361362668067,1.0,0.11928621516803943
358,500,1338,17681,0.2,0.8310295732782557,0.8816485194341324,0.09722306891697874,0.13018891098082386,0.23194621532556267,1.0,0.11916553735178587
359,500,1368,17683,0.2,0.8309989811900464,0.8816485194341324,0.09720951207697465,0.13018891098082386,0.2321636916758717,1.0,0.11903574348403663
360,500,1425,17686,0.2,0.8309947547147674,0.8816485194341324,0.09720687851744811,0.13018891098082386,0.2322669143928881,1.0,0.11896273579813416
361,500,1337,17686,0.2,0.8309762880936692,0.8816485194341324,0.09719929456435025,0.13018891098082386,0.2324013424609568,1.0,0.11888078004016582
362,500,1380,17688,0.2,0.8310264844371408,0.8816485194341324,0.0972056065357773,0.13018891098082386,0.23230793824120333,1.0,0.11894566633919187
363,500,1374,17689,0.2,0.8283335491696034,0.8816485194341324,0.10262177976100242,0.13018891098082386,0.2350279852746051,1.0,0.12191565374612105
364,500,1354,17691,0.2,0.8311382114359798,0.8816485194341324,0.09725280489951282,0.13018891098082386,0.2321927780515188,1.0,0.11899839258199252
365,500,1404,17691,0.2,0.8311238816113502,0.8816485194341324,0.09724036872811052,0.13018891098082386,0.23234922060759952,1.0,0.11889032080823866
366,500,1401,17693,0.2,0.831116741499912,0.8816485194341324,0.09723630311665457,0.1336306209562122,0.23244609076558684,1.0,0.1188171733769869
367,500,1427,17694,0.2,0.8272893671559821,0.8816485194341324,0.1019170931427063,0.1336306209562122,0.2373297230995555,1.0,0.12195677842297979
368,500,1371,17695,0.2,0.826986359901523,0.8816485194341324,0.10232654454210584,0.1336306209562122,0.2377463156490162,1.0,0.12245155199732062
369,500,1390,17696,0.2,0.8263306041795425,0.8816485194341324,0.10221483507345389,0.1336306209562122,0.2390846242236587,1.0,0.12242082744281531
370,500,1347,17697,0.2,0.8264903406447529,0.8816485194341324,0.10222867946238527,0.1336306209562122,0.23889694870900838,1.0,0.12242554206345836
371,500,1394,17701,0.2,0.8273347512084512,0.8816485194341324,0.10193102779581918,0.1336306209562122,0.23758228588762023,1.0,0.12247274169001378
372,500,1391,17701,0.2,0.828192124900916,0.8824708963822185,0.09929663661131932,0.13608276348795434,0.237234774913735,1.0,0.1203743816687728
373,500,1411,17702,0.2,0.828999409929287,0.8824708963822185,0.10082467128526139,0.13608276348795434,0.23549558270469467,1.0,0.12119608152768373
374,500,1383,17703,0.2,0.8291127090231704,0.8824708963822185,0.09928867819185493,0.13608276348795434,0.23556197935893522,1.0,0.1203127197468208
375,500,1371,17704,0.2,0.8314010059170791,0.8824708963822185,0.0973193515511083,0.13608276348795434,0.23260780325162092,1.0,0.11861917605529944
376,500,1373,17704,0.2,0.828030710179095,0.8824708963822185,0.10257709155184909,0.13608276348795434,0.23629215460169872,1.0,0.1219942139960176
377,500,1416,17708,0.2,0.8307770799395742,0.8824708963822185,0.09747956531605105,0.13608276348795434,0.23358575606452311,1.0,0.11890986644471478
378,500,1348,17711,0.2,0.8315235495771955,0.8824708963822185,0.09736854587524496,0.13608276348795434,0.23237460634689375,1.0,0.1187383857933811
379,500,1410,17714,0.2,0.8274363263988087,0.8824708963822185,0.10363689547814592,0.13483997249264842,0.2371468108573802,1.0,0.12182423075318669
380,500,1361,17715,0.2,0.8288832723479902,0.8824708963822185,0.10117645890470492,0.13483997249264842,0.23573265945994415,1.0,0.12148481905741879
